0 2038.329833 1344.670288 10.671875 0.000287 -0.037925 0.000000 2040.900268 1344.973266 11.521364 -0.995224 0.016339 -0.096232 50.000000 87.009170 1  0  0  0  0  31  0  1  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0  0  0  0  0  0  0  0  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 17 0.000000 0 0.000000 1544025373 199050232 
0 2038.335815 1344.549072 10.671875 0.002042 -0.041079 0.000000 2040.927246 1344.709594 11.530981 -0.994348 0.035759 -0.099964 50.000000 86.337738 1  0  0  0  0  31  0  1  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0  0  0  0  0  0  0  0  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 17 0.000000 0 0.000000 1544025374 199050348 
0 2038.365112 1344.186401 10.671875 0.001569 -0.041080 0.000000 2040.953491 1344.339111 11.530981 -0.994348 0.035759 -0.099964 50.000000 86.337738 1  0  0  0  0  31  0  1  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0  0  0  0  0  0  0  0  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 17 0.000000 0 0.000000 1544025374 199050461 
0 2038.373657 1343.834228 10.671875 0.000202 -0.041019 0.000000 2040.960205 1344.104614 11.530981 -0.994348 0.035759 -0.099964 50.000000 86.337738 1  0  0  0  0  31  0  1  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0  0  0  0  0  0  0  0  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 17 0.000000 0 0.000000 1544025374 199050633 
0 2038.346557 1343.592041 10.671875 -0.004790 -0.040673 0.000000 2040.950439 1343.863281 11.530981 -0.994348 0.035759 -0.099964 50.000000 85.666305 1  0  0  0  0  31  0  1  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0  0  0  0  0  0  0  0  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 17 0.000000 0 0.000000 1544025374 199050757 
0 2038.319091 1343.358032 10.671875 -0.004763 -0.040697 0.000000 2040.926147 1343.590942 11.502101 -0.994921 0.047459 -0.088764 50.000000 85.442497 1  0  0  0  0  31  0  1  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0  0  0  0  0  0  0  0  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 17 0.000000 0 0.000000 1544025374 199050886 
0 2038.302490 1343.118164 10.671875 -0.001752 -0.040575 0.000000 2040.902832 1343.350585 11.482802 -0.995365 0.051378 -0.081291 50.000000 85.218681 1  0  0  0  0  31  0  1  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0  0  0  0  0  0  0  0  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 17 0.000000 0 0.000000 1544025374 199050986 
0 2038.292846 1342.881713 10.671875 -0.001949 -0.040627 0.000000 2040.892333 1343.079956 11.473139 -0.994992 0.063058 -0.077553 50.000000 84.323432 1  0  0  0  0  31  0  1  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0  0  0  0  0  0  0  0  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 17 0.000000 0 0.000000 1544025374 199051093 
0 2038.305297 1342.520629 10.671875 0.001506 -0.041944 0.000000 2040.897827 1342.490234 11.473139 -0.991364 0.105740 -0.077553 50.000000 82.309127 1  0  0  0  0  31  0  1  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0  0  0  0  0  0  0  0  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 17 0.000000 0 0.000000 1544025374 199051278 
0 2038.272216 1342.169433 10.671875 -0.005845 -0.040859 0.000000 2040.854736 1341.980834 11.550182 -0.971188 0.212729 -0.107423 50.000000 74.923347 1  0  0  0  0  31  0  1  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0  0  0  0  0  0  0  0  0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 17 0.000000 0 0.000000 1544025375 199051446 
